sheet	range	group	formula	count	cached	error
ضایعات	D13		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_ChickenAndBeafWaste,5)	1	#NAME?	#NAME?
ضایعات	E13		LET(\nwaste,DN,\ntotal,GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,9) + GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,10),\nDIVIDE(waste,total)\n)	1	#NAME?	#NAME?
ضایعات	I20		LET(\nsheetName,"ضایعات",\ndataRange,"A:D",\ndate,JALALI_TO_GREG(FORMAT_PERSIAN_DATE(BN,CN,DN)),\ndata,IMPORT_FROM_SHEET(SheetsFileId_Salon_Naharkhoran,sheetName,dataRange),\nfilterByDate(data,date,0))	1	#NAME?	#NAME?
ضایعات	M20		LET(\nsheetName,"ضایعات",\ndataRange,"A:D",\ndate,JALALI_TO_GREG(FORMAT_PERSIAN_DATE(BN,CN,DN)),\ndata,IMPORT_FROM_SHEET(SheetsFileId_Salon_Chalebagh,sheetName,dataRange),\nfilterByDate(data,date,0))	1	#NAME?	#NAME?
ضایعات	D26		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_Waste,2)	1	#NAME?	#NAME?
ضایعات	D27		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_Waste,3)	1	#NAME?	#NAME?
ضایعات	D28		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_Waste,4)	1	#NAME?	#NAME?
ضایعات	D29		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Prep_Waste,5)	1	#NAME?	#NAME?
ضایعات	I30		LET(\nsheetName,"ضایعات",\ndataRange,"A:D",\ndate,JALALI_TO_GREG(FORMAT_PERSIAN_DATE(BN,CN,DN)),\ndata,IMPORT_FROM_SHEET(SheetsFileId_CashRegister_Naharkhoran,sheetName,dataRange),\nfilterByDate(data,date,0))	1	#NAME?	#NAME?
ضایعات	M30		LET(\nsheetName,"ضایعات",\ndataRange,"A:D",\ndate,JALALI_TO_GREG(FORMAT_PERSIAN_DATE(BN,CN,DN)),\ndata,IMPORT_FROM_SHEET(SheetsFileId_CashRegister_Chalebagh,sheetName,dataRange),\nfilterByDate(data,date,0))	1	#NAME?	#NAME?
backup مواد اولیه	B4		'تاریخ'!CN	1	3	
backup مواد اولیه	C4		'تاریخ'!DN	1	شهریور	
backup مواد اولیه	D4		'تاریخ'!EN	1	1405	
backup مواد اولیه	G8		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Accounting_Statistics,2)	1	#NAME?	#NAME?
backup مواد اولیه	I8		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,7)	1	#NAME?	#NAME?
backup مواد اولیه	L8		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,4)	1	#NAME?	#NAME?
backup مواد اولیه	M8		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_ChickenAndBeafWaste,2)	1	#NAME?	#NAME?
backup مواد اولیه	N8		SUM(LN:LN,MN)	1	#NAME?	#NAME?
backup مواد اولیه	P8		MINUS(NN,IN)	1	#NAME?	#NAME?
backup مواد اولیه	Q8		MINUS(IN,GN)	1	#NAME?	#NAME?
backup مواد اولیه	L9		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,5)	1	#NAME?	#NAME?
backup مواد اولیه	L10		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,6)	1	#NAME?	#NAME?
backup مواد اولیه	L11		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,7)	1	#NAME?	#NAME?
backup مواد اولیه	L12		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,8)	1	#NAME?	#NAME?
backup مواد اولیه	G13		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Accounting_Statistics,3)	1	#NAME?	#NAME?
backup مواد اولیه	I13		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,8)	1	#NAME?	#NAME?
backup مواد اولیه	L13		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,9)	1	#NAME?	#NAME?
backup مواد اولیه	M13		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_ChickenAndBeafWaste,3)	1	#NAME?	#NAME?
backup مواد اولیه	N13		SUM(LN:LN,MN)	1	#NAME?	#NAME?
backup مواد اولیه	P13		MINUS(NN,IN)	1	#NAME?	#NAME?
backup مواد اولیه	Q13		MINUS(IN,GN)	1	#NAME?	#NAME?
backup مواد اولیه	L14		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,10)	1	#NAME?	#NAME?
backup مواد اولیه	L15		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,11)	1	#NAME?	#NAME?
backup مواد اولیه	L16		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,12)	1	#NAME?	#NAME?
backup مواد اولیه	G17		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Accounting_Statistics,4)	1	#NAME?	#NAME?
backup مواد اولیه	I17		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,9)	1	#NAME?	#NAME?
backup مواد اولیه	L17		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,13)	1	#NAME?	#NAME?
backup مواد اولیه	M17		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_ChickenAndBeafWaste,4)	1	#NAME?	#NAME?
backup مواد اولیه	N17		SUM(LN:LN,MN)	1	#NAME?	#NAME?
backup مواد اولیه	P17		MINUS(NN,IN)	1	#NAME?	#NAME?
backup مواد اولیه	Q17		MINUS(IN,GN)	1	#NAME?	#NAME?
backup مواد اولیه	L18		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,14)	1	#NAME?	#NAME?
backup مواد اولیه	G21		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,10)	1	#NAME?	#NAME?
backup مواد اولیه	L21		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,15)	1	#NAME?	#NAME?
backup مواد اولیه	M21		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_ChickenAndBeafWaste,5)	1	#NAME?	#NAME?
backup مواد اولیه	N21		GN/100*80	1	#NAME?	#NAME?
backup مواد اولیه	P21:P24	1	MINUS(LN,NN)	4	#NAME?	#NAME?
backup مواد اولیه	G22		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,11)	1	#NAME?	#NAME?
backup مواد اولیه	L22		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,16)	1	#NAME?	#NAME?
backup مواد اولیه	N22		GN/100*60	1	#NAME?	#NAME?
backup مواد اولیه	G23		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,12)	1	#NAME?	#NAME?
backup مواد اولیه	L23		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,17)	1	#NAME?	#NAME?
backup مواد اولیه	G24		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,13)	1	#NAME?	#NAME?
backup مواد اولیه	L24		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,18)	1	#NAME?	#NAME?
backup مواد اولیه	G27		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,6)	1	#NAME?	#NAME?
backup مواد اولیه	H27		SUM(GN:GN)	1	#NAME?	#NAME?
backup مواد اولیه	I27		MULTIPLY(DIVIDE(HN,20),4.1)	1	#NAME?	#NAME?
backup مواد اولیه	L27		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,2)	1	#NAME?	#NAME?
backup مواد اولیه	M27		DIVIDE(SUM(MULTIPLY(LN,60),MULTIPLY(LN,150)),1000)	1	#NAME?	#NAME?
backup مواد اولیه	P27		MINUS(MN,SUM(IN,HN))	1	#NAME?	#NAME?
